"抓取日期","所在页面","商品编号","商品标题","商品价格","商品URL","收货数量","店铺名称","发货地","店铺URL"
"2021-01-12","1","597016140493","红富士苹果水果新鲜当季整箱陕西红苹果应季冰糖心苹果丑苹果10斤","19.90","https://detail.tmall.com/item.htm?id=597016140493&ns=1&abbucket=3","10万+人收货","王小二旗舰店","陕西 渭南","https://store.taobao.com/shop/view_shop.htm?user_number_id=2939922051"
"2021-01-12","1","597694921428","苹果水果新鲜当季水果丑苹果整箱10现季山西冰糖心红富士斤带一十","13.80","https://detail.tmall.com/item.htm?id=597694921428&ns=1&abbucket=3","7.5万+人收货","御品一园旗舰店","山西 运城","https://store.taobao.com/shop/view_shop.htm?user_number_id=4010013173"
"2021-01-12","1","627556724842","新疆阿克苏冰糖心苹果10斤新鲜红富士水果应当季丑萍果5整箱包邮","23.80","https://detail.tmall.com/item.htm?id=627556724842&ns=1&abbucket=3","7.5万+人收货","甘福园旗舰店","新疆 阿克苏","https://store.taobao.com/shop/view_shop.htm?user_number_id=3015214310"
"2021-01-12","1","627093960742","苹果水果10斤新鲜当季陕西红富士一整箱批应季现摘冰糖心丑苹果脆","17.80","https://detail.tmall.com/item.htm?id=627093960742&ns=1&abbucket=3","6.5万+人收货","红运道旗舰店","陕西 西安","https://store.taobao.com/shop/view_shop.htm?user_number_id=3418744326"
"2021-01-12","1","631388047445","【薇娅推荐】盒马新疆阿克苏苹果净重8斤当季新鲜水果红富士","59.90","https://detail.tmall.com/item.htm?id=631388047445&ns=1&abbucket=3","6.0万+人收货","盒马鲜生旗舰店","上海","https://store.taobao.com/shop/view_shop.htm?user_number_id=3012860579"
"2021-01-12","1","622420312531","冰糖心苹果水果新鲜10斤当季应季整箱平安果山西红富士丑苹果脆甜","20.80","https://detail.tmall.com/item.htm?id=622420312531&ns=1&abbucket=3","3.5万+人收货","喜多鲜旗舰店","山西 运城","https://store.taobao.com/shop/view_shop.htm?user_number_id=4179999320"
"2021-01-12","1","622886434405","苹果水果新鲜当季整箱10斤青红富士应季苹果冰糖心山西脆甜丑苹果","20.80","https://detail.tmall.com/item.htm?id=622886434405&ns=1&abbucket=3","3.5万+人收货","汇果康旗舰店","山西 运城","https://store.taobao.com/shop/view_shop.htm?user_number_id=2206441814486"
"2021-01-12","1","609750758053","新疆阿克苏冰糖心苹果10斤水果新鲜红富士苹果应当季丑萍果5整箱","22.80","https://detail.tmall.com/item.htm?id=609750758053&ns=1&abbucket=3","3.0万+人收货","探疆奇遇旗舰店","甘肃 庆阳","https://store.taobao.com/shop/view_shop.htm?user_number_id=2206860562597"
"2021-01-12","1","612773275193","甘福园 东北冻梨10斤梨子新鲜水果苹果梨花盖秋梨大黑梨特产5包邮","19.90","https://detail.tmall.com/item.htm?id=612773275193&ns=1&abbucket=3","3.0万+人收货","甘福园旗舰店","吉林 松原","https://store.taobao.com/shop/view_shop.htm?user_number_id=3015214310"
"2021-01-12","1","631065693389","苹果水果新鲜当季现摘整箱10斤冰糖心红富士一箱装脆甜特大个包邮","8.90","https://detail.tmall.com/item.htm?id=631065693389&ns=1&abbucket=3","2.5万+人收货","留香岛旗舰店","山西 运城","https://store.taobao.com/shop/view_shop.htm?user_number_id=2207302427258"
"2021-01-12","1","628600492160","新疆阿克苏冰糖心苹果8斤大果礼盒当季新鲜红富士水果顺丰包邮10","17.80","https://detail.tmall.com/item.htm?id=628600492160&ns=1&abbucket=3","2.5万+人收货","壹农壹果旗舰店","新疆 阿克苏","https://store.taobao.com/shop/view_shop.htm?user_number_id=3053006373"
"2021-01-12","1","627555335178","正宗新疆阿克苏冰糖心苹果新鲜水果10斤整箱顺丰包邮丑苹果红富士","58.60","https://detail.tmall.com/item.htm?id=627555335178&ns=1&abbucket=3","2.0万+人收货","小憨孩旗舰店","新疆 阿克苏","https://store.taobao.com/shop/view_shop.htm?user_number_id=3408811717"
"2021-01-12","1","626256597285","盐源冰糖心丑苹果10斤新鲜当季整箱昭通大凉山平安果富士苹果水果","18.90","https://detail.tmall.com/item.htm?id=626256597285&ns=1&abbucket=3","2.0万+人收货","鲜媳妇旗舰店","四川 凉山","https://store.taobao.com/shop/view_shop.htm?user_number_id=3267423013"
"2021-01-12","1","626739701962","东北冻梨新鲜梨子4斤包邮冻苹果梨冻秋梨大黑梨特产水果应季整箱","29.80","https://detail.tmall.com/item.htm?id=626739701962&ns=1&abbucket=3","2.0万+人收货","北国鸿达旗舰店","吉林 松原","https://store.taobao.com/shop/view_shop.htm?user_number_id=4057611462"
"2021-01-12","1","632748157744","红富士苹果水果3斤新鲜烟台栖霞特产脆甜丑萍果当季带整箱包邮","13.80","https://detail.tmall.com/item.htm?id=632748157744&ns=1&abbucket=3","2.0万+人收货","觅蜂果果润美专卖店","山东 烟台","https://store.taobao.com/shop/view_shop.htm?user_number_id=2208725985682"
"2021-01-12","1","624703447780","甘肃天水花牛苹果10斤新鲜当季水果红蛇果整箱应季粉面平果5包邮","19.90","https://detail.tmall.com/item.htm?id=624703447780&ns=1&abbucket=3","2.0万+人收货","甘福园旗舰店","甘肃 天水","https://store.taobao.com/shop/view_shop.htm?user_number_id=3015214310"
"2021-01-12","1","623750742492","苹果新鲜水果10斤包邮陕西冰糖心红富士丑苹果当季一整箱平安果5","12.80","https://detail.tmall.com/item.htm?id=623750742492&ns=1&abbucket=3","2.0万+人收货","悠膳小鲜旗舰店","陕西 西安","https://store.taobao.com/shop/view_shop.htm?user_number_id=3332856379"
"2021-01-12","1","625075332506","甘肃天水花牛苹果10斤新鲜水果当季包邮红蛇果整箱红苹果粉面苹果","19.90","https://detail.tmall.com/item.htm?id=625075332506&ns=1&abbucket=3","2.0万+人收货","王小二旗舰店","陕西 西安","https://store.taobao.com/shop/view_shop.htm?user_number_id=2939922051"
"2021-01-12","1","624033372505","新鲜山东烟台红富士苹果水果平安果新年元旦礼品栖霞特产脆甜","20.80","https://detail.tmall.com/item.htm?id=624033372505&ns=1&abbucket=3","2.0万+人收货","吞粮旗舰店","山东 烟台","https://store.taobao.com/shop/view_shop.htm?user_number_id=2206435915016"
"2021-01-12","1","628903706525","新疆阿克苏冰糖心苹果10斤新鲜水果当季整箱丑萍果5红富士平安果","17.80","https://detail.tmall.com/item.htm?id=628903706525&ns=1&abbucket=3","1.5万+人收货","小城外旗舰店","新疆 阿克苏","https://store.taobao.com/shop/view_shop.htm?user_number_id=3229923698"
"2021-01-12","1","611786587019","新疆阿克苏冰糖心苹果当季水果新鲜10斤包邮整箱应季丑平果红富士","23.80","https://detail.tmall.com/item.htm?id=611786587019&ns=1&abbucket=3","1.5万+人收货","王小二旗舰店","陕西 西安","https://store.taobao.com/shop/view_shop.htm?user_number_id=2939922051"
"2021-01-12","1","626505196818","红富士苹果水果10斤新鲜当季陕西冰糖心现季丑苹果脆甜一整箱批发","21.80","https://detail.tmall.com/item.htm?id=626505196818&ns=1&abbucket=3","1.5万+人收货","果味喵旗舰店","陕西 渭南","https://store.taobao.com/shop/view_shop.htm?user_number_id=4080579105"
"2021-01-12","1","631247949100","烟台苹果栖霞红富士脆甜过年送礼盒福字新年礼品整箱5斤6/9个装","29.80","https://detail.tmall.com/item.htm?id=631247949100&ns=1&abbucket=3","1.5万+人收货","那座山水果旗舰店","山东 烟台","https://store.taobao.com/shop/view_shop.htm?user_number_id=2434390950"
"2021-01-12","1","625901717508","甘肃天水花牛苹果10斤包邮新鲜当季红蛇果整箱刮泥水果甜粉","26.90","https://detail.tmall.com/item.htm?id=625901717508&ns=1&abbucket=3","1.5万+人收货","康田汇旗舰店","陕西 西安","https://store.taobao.com/shop/view_shop.htm?user_number_id=2206715209528"
